source	subject_category	subject_prefix	predicate	object_category	object_prefix	count
bacdive	biolink:PhenotypicQuality	EC	biolink:consumes	biolink:ChemicalEntity	CHEBI	16
bacdive	biolink:ChemicalEntity	CHEBI	biolink:occurs_in	(unknown)	assay	13
bacdive	(unknown)	NCBITaxon	biolink:produces	biolink:ChemicalEntity	CHEBI	13
bacdive	biolink:PhenotypicQuality	EC	biolink:is_assessed_by	(unknown)	assay	9
bacdive	(unknown)	NCBITaxon	biolink:associated_with_sensitivity_to	biolink:ChemicalEntity	CHEBI	7
bacdive	biolink:OrganismTaxon	NCBITaxon	biolink:consumes	biolink:ChemicalSubstance	CHEBI	7
bacdive	biolink:OrganismTaxon	strain	biolink:consumes	biolink:ChemicalSubstance	CHEBI	7
bacdive	biolink:Enzyme	EC	biolink:is_assessed_by	biolink:PhenotypicQuality	assay	4
madin_etal	(unknown)	FOODON	biolink:location_of	biolink:OrganismTaxon	NCBITaxon	4
bacdive	biolink:ChemicalEntity	CAS-RN	biolink:occurs_in	(unknown)	assay	3
bacdive	biolink:Enzyme	EC	biolink:consumes	biolink:ChemicalEntity	CAS-RN	3
bacdive	biolink:Enzyme	EC	biolink:is_assessed_by	(unknown)	assay	1
bacdive	biolink:ChemicalEntity	KEGG	biolink:occurs_in	biolink:PhenotypicQuality	assay	1
bacdive	(unknown)	NCBITaxon	biolink:associated_with_resistance_to	biolink:ChemicalEntity	CHEBI	1
bacdive	(unknown)	NCBITaxon	biolink:produces	biolink:ChemicalSubstance	CHEBI	1
madin_etal	biolink:OrganismTaxon	NCBITaxon	biolink:consumes	(unknown)	carbon_substrates	1
