sheet_medium	target_system	target_id	target_name	match_type	confidence	evidence
MP	kg-microbe	medium:J918	DESULFAMPLUS MEDIUM	WRONG	0.0	Sulfate-reducing medium; CMM-AI LIKE query false positive
MP	mediadive	-	-	UNGROUNDED	0.0	Lab-specific PIPES-buffered medium from Delaney et al. 2013
MP	doi	10.1371/journal.pone.0062957	Delaney et al. 2013 SI	LAB_PROTOCOL	1.0	Primary source for MP medium formulation
MP-Methanol	mediadive	-	-	UNGROUNDED	0.0	MP medium with methanol carbon source; lab-specific
MP-Methanol	derived_from	MP	MP + methanol	DERIVED	1.0	MP base medium with methanol as carbon source
MPYG	kg-microbe	-	-	UNGROUNDED	0.0	No kg-microbe mapping exists in sheet
MPYG	mediadive	852	GYP AGAR/BROTH	CLOSE	0.7	Semantic search match (dist: 0.670); similar Glucose-Yeast-Peptone composition
MPYG	note	-	-	NEEDS_REVIEW	0.5	Green and Bousfield (1983) may have specific formulation
NMS	kg-microbe	medium:632	NMS MEDIUM	EXACT	1.0	Canonical DSMZ NMS formulation
NMS	kg-microbe	medium:J510	NMS MEDIUM	EXACT	1.0	JCM NMS formulation
NMS	kg-microbe	medium:1179	NMS MEDIUM FOR METHYLOCYSTIS SP.	VARIANT	0.8	Species-specific NMS variant
NMS	kg-microbe	medium:J828	MODIFIED NMS MEDIUM	VARIANT	0.8	Modified NMS formulation
NMS	kg-microbe	medium:1610	METHYLOCEANIBACTER MEDIUM (NaCl-dANMS)	VARIANT	0.7	Marine NMS variant with NaCl
NMS	mediadive	632	NMS MEDIUM	EXACT	1.0	Canonical DSMZ NMS; Whittenbury et al. 1970
NMS	togomedium	M511	NMS Medium	EXACT	1.0	TogoMedium NMS entry
NMS	togomedium	M863	Modified NMS Medium	VARIANT	0.8	Modified NMS variant
R2A	kg-microbe	medium:830	R2A MEDIUM	EXACT	1.0	Canonical DSMZ R2A formulation
R2A	kg-microbe	medium:J839	R2A BROTH	VARIANT	0.9	Liquid R2A form
R2A	kg-microbe	medium:J845	1/2 R2A AGAR	VARIANT	0.8	Half-strength R2A
R2A	kg-microbe	medium:J804	1/10 R2A AGAR	VARIANT	0.7	1/10 diluted R2A
R2A	kg-microbe	medium:J805	1/10 R2A BROTH	VARIANT	0.7	1/10 diluted R2A liquid
R2A	kg-microbe	medium:J736	1/2 R2A MEDIUM WITH 75% ARTIFICIAL SEAWATER	VARIANT	0.6	R2A with seawater
R2A	kg-microbe	medium:1365	1/10 R2A MEDIUM MODIFIED	VARIANT	0.7	Modified dilute R2A
R2A	kg-microbe	medium:1394	R2A MEDIUM WITH SEAWATER 50%	VARIANT	0.6	R2A with seawater
R2A	kg-microbe	medium:J1325	ANAEROBIC DOUBLE-STRENGTH R2A MEDIUM	VARIANT	0.6	Anaerobic concentrated R2A
R2A	kg-microbe	medium:1492	HALF STRENGTH R2A	VARIANT	0.8	Half-strength R2A
R2A	mediadive	830	R2A MEDIUM	EXACT	1.0	Canonical DSMZ R2A; Reasoner and Geldreich 1985
R2A	togomedium	M1161	5 x R2A Agar	VARIANT	0.6	Concentrated R2A variant
Hypho	mediadive	-	-	UNGROUNDED	0.0	Lab-specific Hypho medium from Delaney et al. 2013
Hypho	doi	10.1371/journal.pone.0062957	Delaney et al. 2013 SI	LAB_PROTOCOL	1.0	Primary source for Hypho medium formulation
Hypho-Methanol	mediadive	-	-	UNGROUNDED	0.0	Hypho medium with methanol; lab-specific
Hypho-Methanol	derived_from	Hypho	Hypho + methanol	DERIVED	1.0	Hypho base medium with methanol as carbon source
