strain_id	species_taxon_id	scientific_name	strain_designation	Name synonyms	Project Lab	type_strain	XoxF/ExaF/GDH	LutH/MluA	lanM	lanP	methylolanthanin biosynthetic cluster	neutral pH	alkaline pH	microareobic/microaerophilic	Growth Media	Genome	culture_collection_ids	procurement_urls	availability_status	alternative_names	biosafety_level	growth_requirements	kg_microbe_nodes	notes	source
NCIMB:13343	269069	Methylorubrum aminovorans				yes											NCIMB:13343; ATCC:51358; CIP:105328; NBRC:15686; DSM:8832; JCM:8240	https://www.ncimb.com/product/NCIMB13343; https://www.atcc.org/products/51358; https://www.nite.go.jp/nbrc/catalogue/NBRCCatalogueDetailServlet?ID=NBRC&CAT=15686; https://www.dsmz.de/collection/catalogue/details/culture/DSM-8832; https://jcm.brc.riken.jp/cgi-bin/jcm/jcm_number?JCM=8240	available	Methylobacterium aminovorans	1	urease; catalase; leucyl glycin arylamidase	NCBITaxon:2690690; NCBITaxon:2690696; NCBITaxon:2690697; NCBITaxon:2690694; NCBITaxon:2690692; strain:bacdive_163427; strain:bacdive_163424; strain:bacdive_163430; strain:bacdive_163439; strain:bacdive_163452		extend1
NCIMB:13778	144191	Methylorubrum suomiense				yes											NCIMB:13778; DSM:14458	https://www.ncimb.com/product/NCIMB13778; https://www.dsmz.de/collection/catalogue/details/culture/DSM-14458	available	Methylobacterium suomiense	1	mesophilic; gram negative; aerobe	NCBITaxon:1441916; NCBITaxon:1441911; NCBITaxon:1441919; NCBITaxon:1441914; NCBITaxon:1441917; strain:bacdive_163427; strain:bacdive_163424; strain:bacdive_163430; strain:bacdive_163439; strain:bacdive_163452		extend1
ATCC:43883	29429	Methylorubrum zatmanii				yes											ATCC:43883; DSM:5688; NBRC:15845; NCIMB:12243; LMG:6087; CIP:103774; JCM:10892	https://www.atcc.org/products/43883; https://www.dsmz.de/collection/catalogue/details/culture/DSM-5688; https://www.nite.go.jp/nbrc/catalogue/NBRCCatalogueDetailServlet?ID=NBRC&CAT=15845; https://www.ncimb.com/product/NCIMB12243; https://jcm.brc.riken.jp/cgi-bin/jcm/jcm_number?JCM=10892	available	Methylobacterium zatmanii	1	urease; catalase; mesophilic	NCBITaxon:2942916; NCBITaxon:2942998; NCBITaxon:2942927; NCBITaxon:2942917; NCBITaxon:2942933; strain:bacdive_163434; strain:bacdive_163424; strain:bacdive_163430; strain:bacdive_163439; strain:bacdive_163452		extend1
DSM:15083	200476	Methylorubrum podarium				yes											DSM:15083; NCIMB:14856	https://www.dsmz.de/collection/catalogue/details/culture/DSM-15083; https://www.ncimb.com/product/NCIMB14856	available	Methylobacterium podarium	1	mesophilic; gram negative; aerobe	NCBITaxon:200476; strain:bacdive_163424; strain:bacdive_163430; strain:bacdive_163439; strain:bacdive_163452; strain:bacdive_163505; strain:bacdive_163434; strain:bacdive_163440; strain:bacdive_163426; strain:bacdive_163425		extend1
DSM:17706	428	Methylosinus sporium				yes											DSM:17706; ATCC:35069; NCIMB:11126	https://www.dsmz.de/collection/catalogue/details/culture/DSM-17706; https://www.atcc.org/products/35069; https://www.ncimb.com/product/NCIMB11126	available		1	mesophilic; gram negative; facultative anaerobe	NCBITaxon:428095; NCBITaxon:428097; NCBITaxon:428134; NCBITaxon:428135; NCBITaxon:428293; strain:bacdive_139906; strain:bacdive_164353		extend1
NCIMB:11131	426	Methylosinus trichosporium				yes											NCIMB:11131; ATCC:35070	https://www.ncimb.com/product/NCIMB11131; https://www.atcc.org/products/35070	available		1	gram negative; facultative anaerobe; methane_oxidation	NCBITaxon:426108; NCBITaxon:426124; NCBITaxon:426131; NCBITaxon:426133; NCBITaxon:426161; strain:bacdive_164353; strain:bacdive_139906		extend1
DSM:17862	364199	Paracoccus homiensis				yes											DSM:17862	https://www.dsmz.de/collection/catalogue/details/culture/DSM-17862	available		1	catalase; alpha-galactosidase; beta-D-galactosidase	NCBITaxon:364199; strain:bacdive_165797; strain:bacdive_162970; strain:bacdive_165799; strain:bacdive_165436; strain:bacdive_164036; strain:bacdive_162990; strain:bacdive_164035; strain:bacdive_165796; strain:bacdive_165800		extend1
DSM:11574	59779	Paracoccus marcusii				yes											DSM:11574	https://www.dsmz.de/collection/catalogue/details/culture/DSM-11574	available		1		NCBITaxon:59779; strain:bacdive_165799; strain:bacdive_162970; strain:bacdive_165436; strain:bacdive_164036; strain:bacdive_165797; strain:bacdive_162990; strain:bacdive_164035; strain:bacdive_165796; strain:bacdive_165800		extend1
DSM:413	266	Paracoccus denitrificans				yes											DSM:413; ATCC:19367; JCM:21484; ATCC:17741; NBRC:102528	https://www.dsmz.de/collection/catalogue/details/culture/DSM-413; https://www.atcc.org/products/19367; https://jcm.brc.riken.jp/cgi-bin/jcm/jcm_number?JCM=21484; https://www.atcc.org/products/17741; https://www.nite.go.jp/nbrc/catalogue/NBRCCatalogueDetailServlet?ID=NBRC&CAT=102528	available	Micrococcus denitrificans	1	alkaline phosphatase; leucyl glycin arylamidase; acid phosphatase	NCBITaxon:2665663; NCBITaxon:2668065; NCBITaxon:2662757; NCBITaxon:2661613; NCBITaxon:266044; strain:bacdive_165797; strain:bacdive_162970; strain:bacdive_165436; strain:bacdive_164036; strain:bacdive_165799		extend1
NBRC:16711	34004	Paracoccus aminovorans				yes											NBRC:16711; ATCC:49632; DSM:8537; CIP:106076; JCM:7685	https://www.nite.go.jp/nbrc/catalogue/NBRCCatalogueDetailServlet?ID=NBRC&CAT=16711; https://www.atcc.org/products/49632; https://www.dsmz.de/collection/catalogue/details/culture/DSM-8537; https://jcm.brc.riken.jp/cgi-bin/jcm/jcm_number?JCM=7685	available	Paracoccus aminivorans	1	catalase; alkaline phosphatase; leucyl glycin arylamidase	NCBITaxon:340043; NCBITaxon:340042; NCBITaxon:340041; NCBITaxon:340047; NCBITaxon:340049; strain:bacdive_162970; strain:bacdive_165436; strain:bacdive_164036; strain:bacdive_165798; strain:bacdive_165799		extend1
CIP:111632	2489002	Paracoccus nototheniae				yes											CIP:111632; CCM:8875	https://ccm.sci.muni.cz/detail.php?id=8875	available		1	catalase; cytochrome-c oxidase; gram negative	NCBITaxon:2489002; strain:bacdive_162970; strain:bacdive_165797; strain:bacdive_165436; strain:bacdive_164036; strain:bacdive_165798; strain:bacdive_162990; strain:bacdive_165799; strain:bacdive_164035; strain:bacdive_165796		extend1
ATCC:4358	33883	Microbacterium arborescens				yes											ATCC:4358; JCM:5884; LMG:4009; CIP:55; NBRC:3750; DSM:20754	https://www.atcc.org/products/4358; https://jcm.brc.riken.jp/cgi-bin/jcm/jcm_number?JCM=5884; https://www.nite.go.jp/nbrc/catalogue/NBRCCatalogueDetailServlet?ID=NBRC&CAT=3750; https://www.dsmz.de/collection/catalogue/details/culture/DSM-20754	available	Flavobacterium arborescens	1	urease; beta-glucosidase; catalase	NCBITaxon:338830; NCBITaxon:338833; NCBITaxon:338831; NCBITaxon:338836; NCBITaxon:338834; strain:bacdive_166045; strain:bacdive_163557; strain:bacdive_163624; strain:bacdive_161529; strain:bacdive_163156		extend1
ATCC:47054		Pseudomonas putida	KT2440		Martinez-Gomez	yes												https://www.atcc.org/products/47054?matchtype=&network=x&device=c&adposition=&keyword=&gad_source=1&gad_campaignid=17725151935&gbraid=0AAAAADR6fpq70swXRIFUvpjN1-oeeAESN&gclid=Cj0KCQiAi9rJBhCYARIsALyPDttPquFbHTHu7BCuLJQeuM_hAWeX9iG1CkGBGGbN2i8raJsHMj7TJyYaAilbEALw_wcB
		Sinorhizobium meliloti	2011		Martinez-Gomez	yes
		Methylorubrum extorquens	PA1		Martinez-Gomez	yes														Methylobacterium extorquens PA1
		Methylobrum nodulans	ORS2060		Martinez-Gomez	yes														Methylobacterium nodulans ORS2060
